model_name,example_count,acceptable_count,borderline_count,unacceptable_count,general_chrf_pass_rate,entity_metric_pass_rate,strategy_match_rate,metric_human_disagreement_rate,metric_likely_miss_yes_rate
gpt4o,200,160,30,10,0.625,0.59,0.79,0.59,0.215
gpt4o_mini,200,109,66,25,0.52,0.235,0.685,0.73,0.405
